,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
79,79,2287,-5,20.13155449,0.379749948,a,3,0.382729867,2.39790633,20.64201386,2.287,-0.11090633,-0.242224428
80,80,2513,8.764607471,18.8088411,0.348123335,a,3,0.382729867,2.39790633,20.64201386,2.513,0.11509367,0.424600406
81,81,2366,34.04782382,18.30662941,0.43613162,a,3,0.382729867,2.39790633,20.64201386,2.366,-0.03190633,1.64944293
82,82,2356,31.66712468,19.0562101,0.509218643,a,3,0.382729867,2.39790633,20.64201386,2.356,-0.04190633,1.534110232
83,83,2402,30.4358164,19.62943349,0.400534515,a,3,0.382729867,2.39790633,20.64201386,2.402,0.00409367,1.474459644
84,84,2456,21.10534979,20.09927623,0.39987129,a,3,0.382729867,2.39790633,20.64201386,2.456,0.05809367,1.022446256
85,85,2409,29.26994185,20.14119596,0.402158059,a,3,0.382729867,2.39790633,20.64201386,2.409,0.01109367,1.417978984
86,86,2456,18.84439546,20.50634579,0.351444794,a,3,0.382729867,2.39790633,20.64201386,2.456,0.05809367,0.912914582
87,87,2460,18.36017232,20.44242463,0.356846671,a,3,0.382729867,2.39790633,20.64201386,2.46,0.06209367,0.889456448
88,88,2080,-5,20.36530417,0.423439406,a,3,0.382729867,2.39790633,20.64201386,2.08,-0.31790633,-0.242224428
89,89,2353,35.65012788,19.45940045,0.427678281,a,3,0.382729867,2.39790633,20.64201386,2.353,-0.04490633,1.727066367
90,90,2442,18.86518303,20.0177014,0.307465812,a,3,0.382729867,2.39790633,20.64201386,2.442,0.04409367,0.913921634
91,91,2377,37.2800116,NA,0.262994732,a,4,0.382729867,2.39790633,20.64201386,2.377,-0.02090633,1.806025897
92,92,2463,11.24618542,37.2800116,0.281771867,a,4,0.382729867,2.39790633,20.64201386,2.463,0.06509367,0.544820166
93,93,2293,-5,24.26309851,0.346977605,a,4,0.382729867,2.39790633,20.64201386,2.293,-0.10490633,-0.242224428
94,94,NA,NA,NA,NA,a,4,NA,NA,NA,NA,NA,NA
95,95,2442,1.094238076,9.631549256,0.165844572,a,4,0.382729867,2.39790633,20.64201386,2.442,0.04409367,0.053010238
96,96,2469,14.52556372,7.92408702,0.328553171,a,4,0.382729867,2.39790633,20.64201386,2.469,0.07109367,0.703689273
97,97,2401,30.89838622,9.024333136,0.372160592,a,4,0.382729867,2.39790633,20.64201386,2.401,0.00309367,1.496868786
98,98,2414,27.64884114,12.14919786,0.481053975,a,4,0.382729867,2.39790633,20.64201386,2.414,0.01609367,1.339444946
99,99,2470,20.23700027,14.08665327,0.44563154,a,4,0.382729867,2.39790633,20.64201386,2.47,0.07209367,0.980379163
100,100,2318,42.58000754,14.77002516,0.364526002,a,4,0.382729867,2.39790633,20.64201386,2.318,-0.07990633,2.062783594
101,101,2259,-5,17.5510234,0.295782367,a,4,0.382729867,2.39790633,20.64201386,2.259,-0.13890633,-0.242224428
102,102,2221,-5,15.50093036,0.273319069,a,4,0.382729867,2.39790633,20.64201386,2.221,-0.17690633,-0.242224428
103,103,2407,27.72077506,13.7925195,0.290704632,a,4,0.382729867,2.39790633,20.64201386,2.407,0.00909367,1.342929777
104,104,2392,32.59183226,14.86392377,0.372644904,a,4,0.382729867,2.39790633,20.64201386,2.392,-0.00590633,1.578907585
105,105,2480,15.19399985,16.13020295,0.366113951,a,4,0.382729867,2.39790633,20.64201386,2.48,0.08209367,0.736071585
106,106,2479,1.867894535,16.06778941,0.2148154,a,4,0.382729867,2.39790633,20.64201386,2.479,0.08109367,0.090489937
107,107,2325,38.39982501,15.18029598,0.413596681,a,4,0.382729867,2.39790633,20.64201386,2.325,-0.07290633,1.86027513
108,108,2296,-5,16.54615063,0.305481652,a,4,0.382729867,2.39790633,20.64201386,2.296,-0.10190633,-0.242224428
109,109,2470,14.28969854,15.34914226,0.328119895,a,4,0.382729867,2.39790633,20.64201386,2.47,0.07209367,0.692262811
110,110,2445,24.02081923,15.29338207,0.5052181,a,4,0.382729867,2.39790633,20.64201386,2.445,0.04709367,1.16368584
111,111,2491,14.56662429,15.72975392,0.385882669,a,4,0.382729867,2.39790633,20.64201386,2.491,0.09309367,0.705678447
112,112,2383,32.53601323,15.6743668,0.426627493,a,4,0.382729867,2.39790633,20.64201386,2.383,-0.01490633,1.576203439
113,113,2369,38.0413492,16.44080527,0.338258489,a,4,0.382729867,2.39790633,20.64201386,2.369,-0.02890633,1.84290881
114,114,2426,20.84366165,17.37995936,0.280536792,a,4,0.382729867,2.39790633,20.64201386,2.426,0.02809367,1.009768804
115,115,2413,27.16914836,17.52428029,0.314590772,a,4,0.382729867,2.39790633,20.64201386,2.413,0.01509367,1.316206284
116,116,2409,29.32582192,17.91007501,0.369068967,a,4,0.382729867,2.39790633,20.64201386,2.409,0.01109367,1.420686088
117,117,2337,42.68256031,18.3491422,0.345705618,a,4,0.382729867,2.39790633,20.64201386,2.337,-0.06090633,2.067751751
118,118,2490,12.19132747,19.25037991,0.347718742,a,4,0.382729867,2.39790633,20.64201386,2.49,0.09209367,0.590607465
119,119,2198,-5,18.99827089,0.378979661,a,4,0.382729867,2.39790633,20.64201386,2.198,-0.19990633,-0.242224428
120,120,2408,29.07282895,18.17074431,0.434793141,a,4,0.382729867,2.39790633,20.64201386,2.408,0.01009367,1.408429873
121,121,2239,-5,NA,0.363642199,a,5,0.382729867,2.39790633,20.64201386,2.239,-0.15890633,-0.242224428
122,122,2462,18.87370666,-5,0.372987722,a,5,0.382729867,2.39790633,20.64201386,2.462,0.06409367,0.91433456
123,123,2268,-5,6.936853332,0.394501265,a,5,0.382729867,2.39790633,20.64201386,2.268,-0.12990633,-0.242224428
124,124,2349,36.87647511,2.957902222,0.411767906,a,5,0.382729867,2.39790633,20.64201386,2.349,-0.04890633,1.786476618
125,125,2453,19.92953935,11.43754544,0.359647094,a,5,0.382729867,2.39790633,20.64201386,2.453,0.05509367,0.965484254
126,126,2325,41.11421962,13.13594422,0.377186336,a,5,0.382729867,2.39790633,20.64201386,2.325,-0.07290633,1.991773666
127,127,2432,23.10997433,17.79899012,0.332178913,a,5,0.382729867,2.39790633,20.64201386,2.432,0.03409367,1.119560063
128,128,2497,15.68057208,18.55770215,0.425669333,a,5,0.382729867,2.39790633,20.64201386,2.497,0.09909367,0.759643521
129,129,2385,33.57163742,18.19806089,0.383341238,a,5,0.382729867,2.39790633,20.64201386,2.385,-0.01290633,1.626374134
