,X,latency,values.getpoints,values.averagepoint,values.rad,id,block,optimalr,optimalt,optimalp,time,timesensitivity,indexp
64,64,2106,19.60230827,16.33035379,0.649136295,a,3,0.467684707,2.176807781,17.75200353,2.106,-0.070807781,1.104230756
65,65,2459,-5,17.14834241,0.568286849,a,3,0.467684707,2.176807781,17.75200353,2.459,0.282192219,-0.281658349
66,66,2153,23.58594492,12.71867393,0.556696109,a,3,0.467684707,2.176807781,17.75200353,2.153,-0.023807781,1.32863566
67,67,2290,31.96986878,14.52988576,0.535119197,a,3,0.467684707,2.176807781,17.75200353,2.29,0.113192219,1.80091609
68,68,2383,-5,17.02131191,0.545191698,a,3,0.467684707,2.176807781,17.75200353,2.383,0.206192219,-0.281658349
69,69,2168,25.13991569,14.26864792,0.534306039,a,3,0.467684707,2.176807781,17.75200353,2.168,-0.008807781,1.416173428
70,70,2082,16.85054088,15.47656656,0.551162533,a,3,0.467684707,2.176807781,17.75200353,2.082,-0.094807781,0.949219104
71,71,2265,30.75166917,15.61396399,0.552656652,a,3,0.467684707,2.176807781,17.75200353,2.265,0.088192219,1.732292872
72,72,2261,30.70018069,16.99011901,0.550982488,a,3,0.467684707,2.176807781,17.75200353,2.261,0.084192219,1.729392439
73,73,1967,7.271383476,18.13262415,0.547826772,a,3,0.467684707,2.176807781,17.75200353,1.967,-0.209807781,0.409609172
74,74,1863,2.404193296,17.2971441,0.54218941,a,3,0.467684707,2.176807781,17.75200353,1.863,-0.313807781,0.135432223
75,75,1983,8.000507867,16.2333619,0.537377354,a,3,0.467684707,2.176807781,17.75200353,1.983,-0.193807781,0.450681967
76,76,2072,15.81987784,15.68450496,0.547351798,a,3,0.467684707,2.176807781,17.75200353,2.072,-0.104807781,0.891160134
77,77,2259,31.12822083,15.69296577,0.538702764,a,3,0.467684707,2.176807781,17.75200353,2.259,0.082192219,1.753504655
78,78,2306,-5,16.60092195,0.556696109,a,3,0.467684707,2.176807781,17.75200353,2.306,0.129192219,-0.281658349
79,79,2090,17.52640112,15.40087073,0.545336761,a,3,0.467684707,2.176807781,17.75200353,2.09,-0.086807781,0.98729144
80,80,2066,15.52529294,15.51274075,0.560231967,a,3,0.467684707,2.176807781,17.75200353,2.066,-0.110807781,0.874565674
81,81,2051,13.72178971,15.51336836,0.542216444,a,3,0.467684707,2.176807781,17.75200353,2.051,-0.125807781,0.772971326
82,82,2098,18.53646937,15.42805509,0.562972067,a,3,0.467684707,2.176807781,17.75200353,2.098,-0.078807781,1.044190271
83,83,2264,31.05747286,15.56934665,0.544396501,a,3,0.467684707,2.176807781,17.75200353,2.264,0.087192219,1.749519304
84,84,2238,30.2382347,16.24274344,0.538188357,a,3,0.467684707,2.176807781,17.75200353,2.238,0.061192219,1.703370251
85,85,2113,19.55416122,16.82588891,0.523278322,a,3,0.467684707,2.176807781,17.75200353,2.113,-0.063807781,1.101518552
86,86,2064,13.29506994,16.9350198,0.486632066,a,3,0.467684707,2.176807781,17.75200353,2.064,-0.112807781,0.748933489
87,87,2225,30.61225312,16.79502173,0.505098507,a,3,0.467684707,2.176807781,17.75200353,2.225,0.048192219,1.724439333
88,88,2171,25.61666918,17.30677104,0.516851789,a,3,0.467684707,2.176807781,17.75200353,2.171,-0.005807781,1.443029748
89,89,2045,12.79680455,17.60355312,0.529204179,a,3,0.467684707,2.176807781,17.75200353,2.045,-0.131807781,0.720865368
90,90,2259,32.65518636,17.43780317,0.503300093,a,3,0.467684707,2.176807781,17.75200353,2.259,0.082192219,1.839521173
91,91,1967,11.5343813,NA,0.73375073,a,4,0.467684707,2.176807781,17.75200353,1.967,-0.209807781,0.649750958
92,92,2449,-5,11.5343813,0.714220619,a,4,0.467684707,2.176807781,17.75200353,2.449,0.272192219,-0.281658349
93,93,2049,16.13879185,3.26719065,0.723658547,a,4,0.467684707,2.176807781,17.75200353,2.049,-0.127807781,0.909125092
