trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
60,2173,24.54184577,20.33050083,0.607066071,1120.978525,a,2,2.173,1.131147843,-0.036222969,20.54657184,2.209222969,21.69640858
61,2178,24.59622187,nan,0.623110124,1145.574747,a,3,2.178,1.133654069,-0.031222969,20.54657184,2.209222969,21.69640858
62,2175,24.49270114,24.59622187,0.618267721,1170.067448,a,3,2.175,1.128882739,-0.034222969,20.54657184,2.209222969,21.69640858
63,2243,27.44389732,24.5444615,0.629564729,1197.511346,a,3,2.243,1.264905075,0.033777031,20.54657184,2.209222969,21.69640858
64,2347,-5,25.51094011,0.605086368,1192.511346,a,3,2.347,-0.230452887,0.137777031,20.54657184,2.209222969,21.69640858
65,2150,22.9559466,17.88320508,0.605336634,1215.467292,a,3,2.15,1.058052835,-0.059222969,20.54657184,2.209222969,21.69640858
66,2205,25.81204721,18.89775338,0.634874436,1241.27934,a,3,2.205,1.189692161,-0.004222969,20.54657184,2.209222969,21.69640858
67,2335,-5,20.05013569,0.593678985,1236.27934,a,3,2.335,-0.230452887,0.125777031,20.54657184,2.209222969,21.69640858
68,2051,15.36575324,16.47154487,0.624757344,1251.645093,a,3,2.051,0.70821644,-0.158222969,20.54657184,2.209222969,21.69640858
69,2113,20.08453558,16.33332092,0.597758392,1271.729628,a,3,2.113,0.925707843,-0.096222969,20.54657184,2.209222969,21.69640858
70,2195,25.72753775,16.75012255,0.615429353,1297.457166,a,3,2.195,1.185797071,-0.014222969,20.54657184,2.209222969,21.69640858
71,2123,20.81423361,17.64786407,0.638055281,1318.2714,a,3,2.123,0.959340046,-0.086222969,20.54657184,2.209222969,21.69640858
72,2025,13.37256358,17.93571585,0.622435753,1331.643963,a,3,2.025,0.616349177,-0.184222969,20.54657184,2.209222969,21.69640858
73,2217,26.48916229,17.55545316,0.629293675,1358.133126,a,3,2.217,1.220900786,0.007777031,20.54657184,2.209222969,21.69640858
74,2206,27.22870797,18.24266155,0.577779911,1385.361834,a,3,2.206,1.254986874,-0.003222969,20.54657184,2.209222969,21.69640858
75,2218,26.70766543,18.88452201,0.622471705,1412.069499,a,3,2.218,1.230971722,0.008777031,20.54657184,2.209222969,21.69640858
76,2188,25.00253619,19.4060649,0.632272266,1437.072035,a,3,2.188,1.152381331,-0.021222969,20.54657184,2.209222969,21.69640858
77,2314,-5,19.75584436,0.560306381,1432.072035,a,3,2.314,-0.230452887,0.104777031,20.54657184,2.209222969,21.69640858
78,2245,27.35046438,18.29961822,0.634741225,1459.4225,a,3,2.245,1.260598697,0.035777031,20.54657184,2.209222969,21.69640858
