,block,participants,latency,rad,getpoints,latency.sd,rad.sd,getpoints.sd,latencysecond,latencysdsecond,optimalr,optimaldeg,optimalt,optimalp,index,timingbias,rad.deg,norm.deg,norm.latencysd
92,3,h,2332.833333,0.278303726,40.08068237,67.03837467,0.115473353,20.96599545,2.332833333,0.067038375,0.249297699,14.28370599,2.299999983,35.89356143,1.116653817,0.03283335,15.94562892,-1.084147932,-1.794738363
9,4,h,2305.3,0.333016926,31.09748073,110.2008042,0.092604511,14.4449607,2.3053,0.110200804,0.249297699,14.28370599,2.299999983,35.89356143,0.866380473,0.005300017,19.08046437,-0.787979235,-0.578308171
30,5,h,2301.833333,0.297071607,34.3977371,113.6297931,0.063509735,18.96059287,2.301833333,0.113629793,0.249297699,14.28370599,2.299999983,35.89356143,0.95832611,0.00183335,17.02094929,-0.982555285,-0.481670288
51,1,i,2276.766667,0.355426331,30.38119044,127.6470574,0.15426191,16.68988655,2.276766667,0.127647057,0.244826451,14.02752237,2.299999983,32.52394637,0.934117591,-0.023233316,20.36442869,-0.666674609,-0.086627109
72,2,i,2270.866667,0.3429278,24.98947977,140.1936428,0.080885121,14.83837281,2.270866667,0.140193643,0.244826451,14.02752237,2.299999983,32.52394637,0.768340948,-0.029133316,19.64831562,-0.734330561,0.266968515
93,3,i,2306.266667,0.378300985,31.72607241,110.2326484,0.023195188,10.16901318,2.306266667,0.110232648,0.244826451,14.02752237,2.299999983,32.52394637,0.975468107,0.006266684,21.67504983,-0.542851538,-0.577410723
10,4,i,2333.866667,0.377552757,27.41778557,126.9378706,0.037292511,11.52251466,2.333866667,0.126937871,0.244826451,14.02752237,2.299999983,32.52394637,0.843003037,0.033866684,21.63217952,-0.54690178,-0.106613827
31,5,i,2329.8,0.366825798,30.53764055,109.5899568,0.013902889,9.550670824,2.3298,0.109589957,0.244826451,14.02752237,2.299999983,32.52394637,0.938927897,0.029800017,21.01757004,-0.604968014,-0.595523438
52,1,j,2141.758621,0.956747132,17.81131282,141.2678952,0.292861772,5.983986341,2.141758621,0.141267895,0.311230613,17.83220058,2.299999983,29.12762432,0.611492123,-0.158241362,54.81757272,2.588342428,0.297243747
73,2,j,2231.733333,0.532515745,22.8706437,149.2768623,0.152800893,11.17201265,2.231733333,0.149276862,0.311230613,17.83220058,2.299999983,29.12762432,0.785187403,-0.06826665,30.51090471,0.29193028,0.522957394
94,3,j,2262.433333,0.630319343,25.33614349,105.7628066,0.101743457,3.926476236,2.262433333,0.105762807,0.311230613,17.83220058,2.299999983,29.12762432,0.86983213,-0.03756665,36.1146381,0.821352141,-0.703382539
11,4,j,2271.366667,0.555105661,26.25724953,121.7956127,0.095681823,5.73861212,2.271366667,0.121795613,0.311230613,17.83220058,2.299999983,29.12762432,0.901455239,-0.028633316,31.80521156,0.414212033,-0.251536113
32,5,j,2306.333333,0.512473286,27.68810402,131.1407071,0.085837793,8.131860283,2.306333333,0.131140707,0.311230613,17.83220058,2.299999983,29.12762432,0.950578863,0.00633335,29.3625564,0.183438198,0.011833089
53,1,k,2187.166667,0.341423689,26.98119129,119.3381412,0.205588428,21.08769327,2.187166667,0.119338141,0.218995525,12.54751933,2.299999988,35.74847581,0.754750816,-0.112833321,19.56213641,-0.742472483,-0.320794104
74,2,k,2267.566667,0.202056203,30.6656823,95.87336595,0.05601701,22.45762293,2.267566667,0.095873366,0.218995525,12.54751933,2.299999988,35.74847581,0.857817896,-0.032433321,11.57696766,-1.496884339,-0.982092864
