trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
125,2499,19.23641706,8.071348878,0.637397421,2306.477017,b,5,2.499,0.859938042,0.112330837,19.74796056,2.386669163,22.3695384
126,2340,27.98054026,10.30436252,0.626742901,2334.457557,b,5,2.34,1.250832259,-0.046669163,19.74796056,2.386669163,22.3695384
127,2470,21.43087516,13.25039214,0.608832924,2355.888432,b,5,2.47,0.958038328,0.083330837,19.74796056,2.386669163,22.3695384
128,2362,26.48727094,14.41903257,0.658063186,2382.375703,b,5,2.362,1.184077671,-0.024669163,19.74796056,2.386669163,22.3695384
129,2271,-5,15.92756237,0.653810022,2377.375703,b,5,2.271,-0.223518247,-0.115669163,19.74796056,2.386669163,22.3695384
130,2511,18.44115905,13.60227766,0.662278244,2395.816862,b,5,2.511,0.824387107,0.124330837,19.74796056,2.386669163,22.3695384
131,2392,25.23073719,14.0861658,0.666429113,2421.047599,b,5,2.392,1.127906027,0.005330837,19.74796056,2.386669163,22.3695384
132,2384,25.98218877,15.09930865,0.648005583,2447.029788,b,5,2.384,1.161498655,-0.002669163,19.74796056,2.386669163,22.3695384
133,2451,22.5299681,16.00621533,0.642518791,2469.559756,b,5,2.451,1.007171793,0.064330837,19.74796056,2.386669163,22.3695384
134,2151,-5,16.50804247,0.641419946,2464.559756,b,5,2.151,-0.223518247,-0.235669163,19.74796056,2.386669163,22.3695384
135,2328,28.29107171,14.97175372,0.624207249,2492.850828,b,5,2.328,1.264714149,-0.058669163,19.74796056,2.386669163,22.3695384
136,2443,22.63346481,15.85970825,0.674740942,2515.484293,b,5,2.443,1.011798474,0.056330837,19.74796056,2.386669163,22.3695384
137,2276,-5,16.28306804,0.536565955,2510.484293,b,5,2.276,-0.223518247,-0.110669163,19.74796056,2.386669163,22.3695384
138,2481,20.57178069,15.03112286,0.61671093,2531.056073,b,5,2.481,0.91963367,0.094330837,19.74796056,2.386669163,22.3695384
139,2308,28.87602739,15.33893718,0.613207349,2559.932101,b,5,2.308,1.290863802,-0.078669163,19.74796056,2.386669163,22.3695384
140,2583,12.39570018,16.05141561,0.60393046,2572.327801,b,5,2.583,0.554133034,0.196330837,19.74796056,2.386669163,22.3695384
141,2347,26.79094417,15.86862984,0.661043169,2599.118745,b,5,2.347,1.197652973,-0.039669163,19.74796056,2.386669163,22.3695384
142,2389,25.96552096,16.38874005,0.639988243,2625.084266,b,5,2.389,1.160753543,0.002330837,19.74796056,2.386669163,22.3695384
143,2322,28.17478974,16.82404827,0.63025685,2653.259056,b,5,2.322,1.25951592,-0.064669163,19.74796056,2.386669163,22.3695384
144,2357,26.7897391,17.31755877,0.652261836,2680.048795,b,5,2.357,1.197599102,-0.029669163,19.74796056,2.386669163,22.3695384
145,2480,20.59050804,17.71223295,0.642240075,2700.639303,b,5,2.48,0.920470851,0.093330837,19.74796056,2.386669163,22.3695384
146,2424,24.30538128,17.82736395,0.633425883,2724.944684,b,5,2.424,1.086539241,0.037330837,19.74796056,2.386669163,22.3695384
147,2491,19.81731053,18.07651847,0.639769783,2744.761995,b,5,2.491,0.8859061,0.104330837,19.74796056,2.386669163,22.3695384
148,2363,27.66949743,18.14099225,0.615253096,2772.431492,b,5,2.363,1.23692751,-0.023669163,19.74796056,2.386669163,22.3695384
149,2354,27.01682016,18.481296,0.647155173,2799.448312,b,5,2.354,1.207750454,-0.032669163,19.74796056,2.386669163,22.3695384
150,2514,18.18914589,18.77562442,0.649489061,2817.637458,b,5,2.514,0.813121199,0.127330837,19.74796056,2.386669163,22.3695384
1,2633,10.90319627,0,2.061398191,10.90319627,d,1,2.633,0.417543936,0.26439398,16.21516887,2.36860602,26.11269216
2,2511,13.3901237,10.90319627,1.616407824,24.29331997,d,1,2.511,0.512782199,0.14239398,16.21516887,2.36860602,26.11269216
3,2572,14.87657008,12.14665999,1.137550797,39.16989006,d,1,2.572,0.569706486,0.20339398,16.21516887,2.36860602,26.11269216
4,2509,18.46038514,13.05663002,0.767978323,57.6302752,d,1,2.509,0.706950667,0.14039398,16.21516887,2.36860602,26.11269216
5,2499,16.3188362,14.4075688,0.448398246,73.9491114,d,1,2.499,0.624938865,0.13039398,16.21516887,2.36860602,26.11269216
6,2462,21.9657237,14.78982228,0.620799239,95.91483509,d,1,2.462,0.841189547,0.09339398,16.21516887,2.36860602,26.11269216
7,2599,0.188427977,15.98580585,0.271792159,96.10326307,d,1,2.599,0.007215954,0.23039398,16.21516887,2.36860602,26.11269216
8,NA,NA,NA,NA,NA,d,1,NA,NA,NA,NA,NA,NA
9,2484,18.48232719,12.97154597,0.915380108,122.254695,d,1,2.484,0.70779095,0.11539398,16.21516887,2.36860602,26.11269216
