trialnum,latency,getpoints,averagepoint,rad,totalpoint,participants,block,time,indexp,timesensitivity,optimaldeg,optimalt,optimalp
74,2188,27.73386038,36.32233977,0.321750554,2037.50049,a,3,2.188,0.742114376,-0.111999982,11.91457154,2.299999982,37.37140968
75,2243,42.364733,35.70887695,0.30487452,2079.865223,a,3,2.243,1.133613459,-0.056999982,11.91457154,2.299999982,37.37140968
76,2196,27.85694218,36.15260069,0.277382228,2107.722165,a,3,2.196,0.745407851,-0.103999982,11.91457154,2.299999982,37.37140968
77,2122,10.52658905,35.63412203,0.303529337,2118.248754,a,3,2.122,0.281674926,-0.177999982,11.91457154,2.299999982,37.37140968
78,2186,26.84655204,34.15720833,0.313620652,2145.095306,a,3,2.186,0.718371404,-0.113999982,11.91457154,2.299999982,37.37140968
79,2267,37.07817367,33.75106076,0.42749984,2182.17348,a,3,2.267,0.992153467,-0.032999982,11.91457154,2.299999982,37.37140968
80,2238,34.77620573,33.92617196,0.428685708,2216.949686,a,3,2.238,0.930556434,-0.061999982,11.91457154,2.299999982,37.37140968
81,2466,14.56525621,33.96867365,0.321750554,2231.514942,a,3,2.466,0.389743291,0.166000018,11.91457154,2.299999982,37.37140968
82,2166,25.38987313,33.04470139,0.448966771,2256.904815,a,3,2.166,0.679392973,-0.133999982,11.91457154,2.299999982,37.37140968
83,2262,35.79278506,32.69675465,0.44441921,2292.6976,a,3,2.262,0.957758494,-0.037999982,11.91457154,2.299999982,37.37140968
84,2280,50.17287271,32.83136467,0.292757607,2342.870473,a,3,2.28,1.342546967,-0.019999982,11.91457154,2.299999982,37.37140968
85,2306,48.93349522,33.55392751,0.309405503,2391.803968,a,3,2.306,1.309383179,0.006000018,11.91457154,2.299999982,37.37140968
86,2294,47.70244406,34.16911021,0.31944109,2439.506412,a,3,2.294,1.276442191,-0.005999982,11.91457154,2.299999982,37.37140968
87,2287,49.31792118,34.68962305,0.303919797,2488.824333,a,3,2.287,1.319669812,-0.012999982,11.91457154,2.299999982,37.37140968
88,2325,48.09739902,35.23141187,0.305064042,2536.921732,a,3,2.325,1.287010563,0.025000018,11.91457154,2.299999982,37.37140968
89,2353,42.84138107,35.69091141,0.311160935,2579.763113,a,3,2.353,1.14636781,0.053000018,11.91457154,2.299999982,37.37140968
90,2335,47.64604674,35.93747933,0.296187942,2627.40916,a,3,2.335,1.274933088,0.035000018,11.91457154,2.299999982,37.37140968
91,2250,44.442256,nan,0.298194703,2671.851416,a,4,2.25,1.189204699,-0.049999982,11.91457154,2.299999982,37.37140968
92,2302,54.68489813,44.442256,0.270325346,2726.536314,a,4,2.302,1.463281653,0.002000018,11.91457154,2.299999982,37.37140968
93,2247,43.63561336,49.56357707,0.29977607,2770.171928,a,4,2.247,1.167620214,-0.052999982,11.91457154,2.299999982,37.37140968
94,2235,40.58904064,47.58758916,0.300645509,2810.760968,a,4,2.235,1.086098731,-0.064999982,11.91457154,2.299999982,37.37140968
95,2212,34.01281545,45.83795203,0.299470119,2844.773784,a,4,2.212,0.910129314,-0.087999982,11.91457154,2.299999982,37.37140968
96,2234,40.3426583,43.47292472,0.300171171,2885.116442,a,4,2.234,1.079505928,-0.065999982,11.91457154,2.299999982,37.37140968
97,2281,49.72834464,42.95121365,0.296983781,2934.844787,a,4,2.281,1.330652097,-0.018999982,11.91457154,2.299999982,37.37140968
98,2228,38.71060997,43.91937522,0.299641136,2973.555397,a,4,2.228,1.035834888,-0.071999982,11.91457154,2.299999982,37.37140968
99,2093,5.572447678,43.26827956,0.297136535,2979.127844,a,4,2.093,0.149109914,-0.206999982,11.91457154,2.299999982,37.37140968
100,2272,47.03504844,39.0798538,0.311334264,3026.162893,a,4,2.272,1.258583737,-0.027999982,11.91457154,2.299999982,37.37140968
101,2332,47.41032852,39.87537326,0.302884868,3073.573221,a,4,2.332,1.26862564,0.032000018,11.91457154,2.299999982,37.37140968
102,2241,42.90547363,40.56036919,0.286698412,3116.478695,a,4,2.241,1.148082826,-0.058999982,11.91457154,2.299999982,37.37140968
103,2397,31.59728461,40.75579456,0.313224573,3148.075979,a,4,2.397,0.845493517,0.097000018,11.91457154,2.299999982,37.37140968
104,2237,41.59076312,40.0512938,0.290314373,3189.666743,a,4,2.237,1.112903245,-0.062999982,11.91457154,2.299999982,37.37140968
105,2317,49.68260753,40.16125589,0.298766097,3239.34935,a,4,2.317,1.329428244,0.017000018,11.91457154,2.299999982,37.37140968
106,2266,46.63396471,40.79601267,0.307397473,3285.983315,a,4,2.266,1.247851368,-0.033999982,11.91457154,2.299999982,37.37140968
107,2260,46.12986777,41.16088467,0.302398132,3332.113183,a,4,2.26,1.234362529,-0.039999982,11.91457154,2.299999982,37.37140968
108,2277,49.47083262,41.45317779,0.295604584,3381.584015,a,4,2.277,1.323761481,-0.022999982,11.91457154,2.299999982,37.37140968
109,2162,19.00543508,41.89860306,0.297302402,3400.58945,a,4,2.162,0.508555477,-0.137999982,11.91457154,2.299999982,37.37140968
